,case,location,date,summary,fatalities,injured,total_victims,place,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,sources,mental_health_sources,sources_additional_age,latitude,longitude,type,year,s#
10,Half Moon Bay spree shooting,"Half Moon Bay, California",2023-01-23,"Chunli Zhao, 67, suspected of carrying out the attacks at a mushroom farm and near a trucking facility, was apprehended by police. Zhao reportedly worked at the mushroom farm.",7,1,8,workplace,67,-,-,-,-,semiautomatic handgun,-,Asian,M,https://www.cnn.com/us/live-news/half-moon-bay-california-shooting-1-23-23/index.html; https://www.washingtonpost.com/nation/2023/01/23/half-moon-bay-shooting-california-suspect-farm/,-,-,-,-,Spree,2023.0,
11,LA dance studio mass shooting,"Monterey Park, California",2023-01-21,"Huu Can Tran, 72, fled the scene in a white van and later shot himself to death as police closed in.",11,10,21,Other,72,yes,"According to the LA Times, ""Two law enforcement sources said the suspect recently showed up to the Hemet police station saying his family was trying to poison him.""",-,-,semiautomatic assault weapon (Details pending),-,Asian,M,https://www.latimes.com/california/story/2023-01-22/la-me-monterey-park-mass-shooting; https://www.washingtonpost.com/nation/2023/01/22/monterey-park-california-shooting/,https://www.latimes.com/california/story/2023-01-22/la-me-monterey-park-mass-shooting,-,-,-,Mass,2023.0,
12,Virginia Walmart shooting,"Chesapeake, Virginia",2022-11-22,"Andre Bing, 31, who worked as a supervisor at the store, opened fire on co-workers and then fatally shot himself, according to local authorities.",6,6,12,Workplace,31,-,-,-,-,semiautomatic handgun,-,Black,M,https://www.washingtonpost.com/dc-md-va/2022/11/23/andre-bing-walmart-shooting-employee/; https://www.wavy.com/news/local-news/chesapeake/police-respond-to-shooting-at-chesapeake-walmart/; https://www.nbcnews.com/news/us-news/multiple-fatalities-shooting-virginia-walmart-police-say-rcna58488,-,-,-,-,Mass,2022.0,
13,LGBTQ club shooting,"Colorado Springs, Colorado",2022-11-19,"Anderson L. Aldrich, 22, wore body armor and opened fire upon entering the club as a dance party was underway; he was subdued by unarmed patrons who tackled him amid the carnage and held him down until police arrived.",5,25,30,Other,22,yes,Aldrich reportedly had a history of menacing behavior and violent threats.,-,-,semiautomatic rifle; semiautomatic handgun,-,White,M,https://coloradosun.com/2022/11/20/club-q-shootins-colorado-springs/; https://www.washingtonpost.com/nation/2022/11/20/colorado-springs-lgbtq-clubq-shooting/; https://www.nytimes.com/2022/11/20/us/colorado-springs-shooting-suspect-charges.html; https://www.nytimes.com/2022/11/20/us/colorado-springs-shooting.html,https://www.nytimes.com/2022/11/20/us/colorado-springs-shooting-suspect-charges.html,-,-,-,Mass,2022.0,
14,University of Virginia shooting,"Charlottesville, Virginia",2022-11-13,"Christopher Darnell Jones Jr., 22, allegedly opened fire after a charter bus returned to campus from a university field trip, killing three members of the UVA football team and injuring two other people. Jones Jr. reportedly was on the radar of the university's threat assessment team regarding talk of owning a gun and a prior 2021 incident involving a concealed weapon.",3,2,5,School,22,-,-,yes,"Dance's Sporting Goods; Colonial Heights, VA",semiautomatic pistol,"Glock 45 9mm; Ruger AR-556 rifle (in his dorm room, with other weapons, gear, and ammo)",Black,M,https://dailyprogress.com/news/local/guns-and-ammunition-seized-from-jones-uva-dormitory-room/article_af765148-66c7-11ed-b27c-a362fa328595.html; https://www.washingtonpost.com/nation/2022/11/13/shooting-university-virginia-charlottesville/; https://www.washingtonpost.com/dc-md-va/2022/11/14/christopher-darnell-jones-uva-gunman/; https://www.13newsnow.com/article/news/crime/uva-shooting-victims-devin-chandler-lavel-davis-dsean-perry/291-193cbb8a-9ca0-4fa3-a463-eafbce219c6b,-,-,-,-,Mass,2022.0,
15,Raleigh spree shooting,"Hedingham, North Carolina",2022-10-13,"Austin Thompson, 15, went on a rampage in the Hedingham neighborhood, where he lived; one of the fatalities included his 16-year-old brother, James. Thompson was critically wounded and apprehended by police after a long standoff, and was admitted to an area hospital in critical condition.",5,2,7,Other,15,-,-,-,-,"shotgun, semiautomatic handgun",,White,M,https://www.newsobserver.com/news/local/crime/article267301562.html; https://www.newsobserver.com/news/local/crime/article267287397.html; https://www.nytimes.com/2022/10/13/us/raleigh-shooting.html; https://www.washingtonpost.com/nation/2022/10/13/north-carolina-shooting-raleigh/,-,-,-,-,Spree,2022.0,
16,Greenwood Park Mall shooting,"Greenwood, Indiana",2022-07-17,"Jonathan Sapirman, 20, opened fire in a mall food court and was soon shot dead by a 22-year-old armed civilian, whose response local authorities called ""nothing short of heroic.""",3,2,5,workplace,20,-,-,yes,in Greenwood,semiautomatic rifles; semiautomatic handgun,Sig Sauer M400 rifle,White,M,https://apnews.com/article/indiana-mall-shooting-345348912b288dce656083b2422c2fde; https://www.washingtonpost.com/nation/2022/07/17/indiana-mall-shooting-greenwood-park/; https://www.nytimes.com/2022/07/18/us/greenwood-indiana-mall-shooting.html,-,-,-,-,Mass,2022.0,
17,Highland Park July 4 parade shooting,"Highland Park, Illinois",2022-07-04,"Suspected gunman Robert ""Bobby"" Crimo, 21, allegedly opened fire with a rifle from a rooftop during an Independence Day parade, unleashing several bursts of rapid fire, and then escaped from the scene as police responded. He was taken into custody about eight hours later, a few miles from the scene of the attack, following a large-scale manhunt by law enforcement. (*Further details pending.)",7,46,53,Other,21,-,-,yes,"legally purchased by the shooter in the ""greater Chicago area"" per authorities",semiautomatic rifle,"AR-15 style rifle, possibly modified for rapid fire",White,M,https://www.cbsnews.com/chicago/news/suspect-in-custody-highland-park-july-4-parade-mass-shooting-active-shooter-at-large-person-of-interest-robert-bobby-crimo-iii-photo-released/; https://www.washingtonpost.com/politics/2022/07/04/fatal-shooting-independence-day-parade/; https://www.wsj.com/articles/alleged-highland-park-shooter-acquired-gun-legally-officials-say-11657033049; https://chicago.suntimes.com/2022/7/6/23196101/highland-park-mass-shooting-suspect-robert-crimo-iii-ordered-held-without-bond,-,-,-,-,Mass,2022.0,
18,Church potluck dinner shooting,"Birmingham, Alabama",2022-06-16,"Robert Findlay Smith, 70, opened fire with a handgun at a potluck dinner and was subdued by a church member until police arrived to apprehend him.",3,0,3,religious,70,-,-,yes,-,semiautomatic handgun,-,White,M,https://apnews.com/article/alabama-birmingham-shootings-religion-1c773c7332c344e5ac30a1101cedeeef,-,-,-,-,Mass,2022.0,
19,Concrete company shooting,"Smithsburg, Maryland",2022-06-09,"Joe Louis Esquivel, 23, shot four coworkers and was captured a short time later after a shootout with police. ",3,1,4,workplace,23,-,-,-,-,semiautomatic handgun,-,-,M,https://www.washingtonpost.com/dc-md-va/2022/06/09/smithsburg-shooting-maryland/; https://www.wusa9.com/article/news/local/maryland/new-details-emerge-in-deadly-smithsburg-manufacturing-plant-shooting-maryland-gun-violence/65-50b7f001-f903-4a16-bbd1-69d0c6286234; https://www.fox5dc.com/news/joe-louis-esquivel-charged-with-murder-in-smithsburg-manufacturing-facility-shooting,-,-,-,-,Mass,2022.0,
20,Tulsa medical center shooting,"Tulsa, Oklahoma",2022-06-01,"Michael Louis, 45, killed four, including two doctors, and took his own life, according to authorities. ""The gunman, who the chief said fatally shot himself, had been carrying a letter saying he blamed his surgeon for continuing back pain and intended to kill him and anyone who got in the way,"" according to the New York Times. Louis purchased the AR-15-style rifle he used the day of the attack, according to city Police Chief Wendell Franklin.",4,0,4,workplace,45,-,-,yes,-,semiautomatic rifle; semiautomatic handgun,AR-15 style rifle; .40 caliber Smith & Wesson pistol,Black,M,https://www.nytimes.com/live/2022/06/01/us/tulsa-shooting-oklahoma-news; https://www.cnn.com/2022/06/02/us/tulsa-hospital-shooting-thursday/index.html; https://www.washingtonpost.com/nation/2022/06/02/tulsa-shooting-news-medical-center/; https://nypost.com/2022/06/02/ar-15-used-in-tulsa-shooting-purchased-that-same-day-report/; https://tulsaworld.com/news/local/saint-francis-mass-shooter-a-few-details-about-michael-louis-emerge/article_5e68ed7c-e695-11ec-8a94-33bb615757b5.html,-,-,-,-,Mass,2022.0,
21,Robb Elementary School massacre,"Uvalde, Texas",2022-05-24,"Salvador Ramos, 18, was identified by authorities as the suicidal gunman who attacked at Robb Elementary school.",21,17,38,School,18,yes,-,yes,-,semiautomatic rifles,-,Latino,M,https://abcnews.go.com/US/texas-elementary-school-reports-active-shooter-campus/story?; https://www.nytimes.com/live/2022/05/24/us/shooting-robb-elementary-uvaldeid=84940951; https://www.houstonchronicle.com/news/houston-texas/texas/article/Uvalde-school-shooting-Texas-17196069.php,-,-,-,-,Mass,2022.0,
22,Buffalo supermarket massacre,"Buffalo, New York",2022-05-14,"Payton S. Gendron, 18, committed a racially motivated mass murder, according to authorities. He livestreamed the attack and was apprehended by police.",10,3,13,workplace,18,yes,previous threats and a mental health evaluation prompted by state police investigation in June 2021,yes,-,semiautomatic rifle,Bushmaster XM-15 semiautomatic rifle,White,M,https://www.nytimes.com/live/2022/05/15/nyregion/shooting-buffalo-ny; https://www.washingtonpost.com/investigations/2022/05/15/buffalo-shooting-gun-bought-bushmaster/; https://apnews.com/article/buffalo-supermarket-shooting-442c6d97a073f39f99d006dbba40f64b,https://www.nytimes.com/2022/05/15/nyregion/gunman-buffalo-shooting-suspect.html,-,-,-,Mass,2022.0,
23,Sacramento County church shooting,"Sacramento, California",2022-02-28,"""A man believed to be meeting his three children for a supervised visit at a church just outside Sacramento on Monday afternoon fatally shot the children and an adult accompanying them before killing himself, police officials said. Sheriff Scott Jones of Sacramento County told reporters at the scene that the gunman had a restraining order against him, and that he had to have supervised visits with his children, who were younger than 15."" (NYTimes)",4,0,4,Religious,-,-,-,-,-,semiautomatic rifle,"AR-15-style ""ghost gun""",-,M,https://www.nytimes.com/2022/02/28/us/church-shooting-sacramento.html; https://www.latimes.com/california/story/2022-02-28/sacramento-county-church-mass-shooting-children-killed; https://www.kcra.com/article/gunman-who-killed-3-daughters-in-sacramento-county-church-was-in-us-illegally/39330254,-,-,38.6011101942605,-121.418965884654,Mass,2022.0,
24,Oxford High School shooting,"Oxford, Michigan",2021-11-30,"Ethan Crumbley, a 15-year-old student at Oxford High School, opened fire with a Sig Sauer 9mm pistol purchased four days earlier by his father, and was apprehended by police shortly thereafter. Prosecutors filed charges against Crumbley for terrorism and first-degree murder.",4,7,11,School,15,-,-,-,-,semiautomatic handgun,Sig Sauer 9mm pistol,-,M,https://www.washingtonpost.com/nation/2021/11/30/oxford-high-school-shooting/; https://www.cnn.com/videos/us/2021/11/30/michigan-high-school-shooting-supect-custody-vpx.cnn; https://www.nytimes.com/live/2021/12/01/us/school-shooting-michigan,-,-,42.8441078351091,-83.2599283134381,Mass,2021.0,
25,San Jose VTA shooting,"San Jose, California",2021-05-26,"Samuel Cassidy, 57, a Valley Transportation Authorty employee, opened fire at a union meeting at the light rail facility, soon also fatally shooting himself at the scene. Before the attack, Cassidy had set fire to his own house, where he also had firearms and a stockpile of ammunition. His legal history included his ex-wife filing a restraining order against him in 2009.",9,0,9,Workplace,57,yes,"Perpetrator had a history of depression, angry behavior and making people around him fearful; former intimate partners decribed him as being mentally unstable",-,-,semiautomatic handguns,-,-,M,https://www.sfchronicle.com/crime/article/Mass-shooting-in-San-Jose-What-we-know-so-far-16204689.php; https://apnews.com/article/san-jose-shootings-873c4d8b0189f3f985ab3bc31ae5837f; https://www.washingtonpost.com/nation/2021/05/26/san-jose-shooting/; https://www.latimes.com/california/story/2021-05-26/police-swarm-active-shooter-incident-in-san-jose; https://www.washingtonpost.com/nation/2021/05/27/san-jose-shooting/; https://apnews.com/article/california-business-shootings-2ac840b7cc77cc9e408a5d6daa7e7e30; https://www.nytimes.com/2021/05/27/us/san-jose-shooting.html,https://www.nytimes.com/2021/05/26/us/what-happened-in-san-jose-shooting.html?referringSource=articleShare,-,37.316097,-121.888533,Mass,2021.0,
26,FedEx warehouse shooting,"Indianapolis, Indiana",2021-04-15,"Brandon Scott Hole, 19, opened fire around 11 p.m. in the parking lot and inside the warehouse, and then shot himself fatally as police responded to the scene.",8,7,15,Workplace,19,yes,Perpetrator had been reported to police in 2020 by his mother as potentially suicidal; he was detained by authorities on a temporary mental health hold,yes,-,semiautomatic rifle,-,White,M,https://www.indystar.com/story/news/crime/2021/04/16/indianapolis-fedex-shooting-gunman-parked-car-and-began-randomly-firing-police-say/7251130002/; https://www.washingtonpost.com/nation/2021/04/16/indianapolis-fedex-shooting-airport/; https://apnews.com/article/fedex-indianapolis-mass-shooting-e92ad3117c56357b3b2c71a2903e68a8; https://www.nytimes.com/2021/04/19/us/indianapolis-shooting-red-flag-law.html,https://www.nytimes.com/2021/04/19/us/indianapolis-shooting-red-flag-law.html,-,39.68663,-86.32313,Mass,2021.0,
27,Orange office complex shooting,"Orange, California",2021-03-31,"Aminadab Gaxiola Gonzalez, 44, allegedly opened fire inside a small business at an office complex, killing at least four victims, including a nine-year-old boy, before being wounded in a confrontation with police and taken into custody. According to law enforcement officials, Gonzalez had chained the front and rear gates to the complex with bicycle cable locks to hinder police response.",4,1,5,Workplace,44,-,-,-,-,semiautomatic handgun,-,-,M,https://www.latimes.com/california/story/2021-03-31/orange-mass-shooting-reported; https://www.ocregister.com/2021/03/31/orange-shooting-draws-large-police-response-multiple-victims-found/; https://www.sandiegouniontribune.com/news/california/story/2021-04-01/police-california-office-attack-that-killed-4-wasnt-random,-,-,33.83542,-117.85379,Mass,2021.0,
28,Boulder supermarket shooting,"Boulder, Colorado",2021-03-22,"Ahmad Al Aliwi Alissa, 21, carried out a mass shooting at a King Soopers that left 10 victims dead, including veteran police officer Eric Talley, who was the first officer to respond on the scene. Alissa was wounded by police and taken into custody.",10,0,10,Workplace,21,yes,Brother described him as paranoid; multiple accounts of anger issues from others who knew him. Misdemeanor criminal record for a violent assault during his senior year in high school.,Yes,-,"semiautomatic rifle, semiautomatic handgun; tactical vest",Ruger AR-556; weapon was purchased six days before the attack,-,M,https://www.denverpost.com/2021/03/22/police-active-shooter-shooting-king-soopers-boulder/; https://www.cnn.com/2021/03/23/us/boulder-colorado-shooting-suspect/index.html; https://www.nbcnews.com/news/us-news/man-charged-10-counts-first-degree-murder-after-shooting-colorado-n1261808; https://www.latimes.com/world-nation/story/2021-03-22/police-responding-to-active-shooter-at-colorado-supermarket; https://denver.cbslocal.com/2021/03/25/grocery-store-shooting-who-is-ahmad-al-issa-ahmad-al-aliwi-alissa/; https://www.nytimes.com/2021/03/27/us/boulder-gunman-alissa.html,https://www.thedailybeast.com/boulder-colorado-cops-identify-king-soopers-supermarket-massacre-suspect-as-ahmad-alissa,-,39.986961,-105.251168,Mass,2021.0,
29,Atlanta massage parlor shootings,"Atlanta, Georgia",2021-03-16,"Robert Aaron Long, 21, killed eight people at three massage parlors. An additional victim was injured. Six of the deceased victims were women of Asian descent. According to law enforcement officials, Long, who is white, made claims in custody about having sexual addiction issues, and had frequented the massage parlors. He also spoke of intent to attack additional locations in Florida.",8,1,9,Workplace,21,-,-,-,-,semiautomatic handgun,-,White,M,https://www.ajc.com/news/breaking-multiple-shootings-shut-down-busy-woodstock-highway/OLE23RVIO5BE3ELWBZAA6GVSSA/; https://www.nytimes.com/2021/03/16/us/atlanta-shootings-massage-parlor.html; https://www.washingtonpost.com/nation/2021/03/16/atlanta-spa-shootings/; https://apnews.com/article/georgia-massage-parlor-shootings-leave-8-dead-f3841a8e0215d3ab3d1f23d489b7af81; https://www.wsj.com/articles/who-is-robert-aaron-long-atlanta-shooting-suspect-11615995416,-,-,34.111653,-84.580376,Spree,2021.0,
30,Springfield convenience store shooting,"Springfield, Missouri",2020-03-16,"Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",4,0,4,Workplace,31,-,-,Yes,-,semiautomatic rifle; semiautomatic handgun,SKS 7.62-caliber rifle; Glock 9mm,-,M,https://www.kiro7.com/news/trending/ive-been-shot-audio-paints-frantic-picture-shooting-that-killed-missouri-officer-3-others/THC32OGO75BR7FLTMXL4VUFYFE/; https://www.nytimes.com/2020/03/16/us/springfield-missouri-shooting.html; https://www.nytimes.com/2020/03/21/us/coronavirus-springfield-missouri-shooting.html; https://www.news-leader.com/story/news/crime/2020/04/08/springfield-kum-and-go-shooting-police-seize-ammo-shooter-apartment/2968217001/,-,-,37.210432,-93.23686,Mass,2020.0,
31,Molson Coors shooting,"Milwaukee, Wisconsin",2020-02-26,"Anthony Ferrill, 51, an employee armed with two handguns, including one with a silencer, opened fire on the Milwaukee campus of the beer company, killing five people and then committing suicide. According to the Milwaukee Journal Sentinel, Ferrill ""had been involved in a long-running dispute with a co-worker that boiled over"" in the run-up to the attack.",5,0,5,Workplace,51,-,-,-,-,semiautomatic handgun,-,Black,M,https://www.jsonline.com/story/news/local/2020/02/26/active-shooter-reported-molsoncoors-campus-unknown-injuries/4884282002/; https://www.cnn.com/2020/02/26/us/milwaukee-critical-incident/index.html; https://www.nytimes.com/2020/02/26/us/milwaukee-shooting-miller-coors.html; https://www.jsonline.com/story/news/politics/2020/02/28/milwaukee-molson-coors-shooting-gwen-moore-says-victim-old-friend/4902693002/,-,-,43.044511,-87.962537,Mass,2020.0,
32,Jersey City kosher market shooting,"Jersey City, New Jersey",2019-12-10,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by anti-Semitism and anti-law enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",4,3,7,Other,-,-,-,-,-,semiautomatic rifle; shotgun; semiautomatic handguns,"AR-15-style rifle; Mossberg 12-gauge shotgun; 9mm Ruger pistol, 9mm Glock 17",Black,Male & Female,https://www.nytimes.com/2019/12/15/nyregion/jersey-city-shooting-terrorism.html; https://twitter.com/fbimostwanted/status/1205621200505802752?s=21; https://www.nytimes.com/2019/12/12/nyregion/jersey-city-shooting-domestic-terrorism.html?smid=nytcore-ios-share; https://www.nytimes.com/2019/12/11/nyregion/jersey-city-shooting.html; https://www.nj.com/hudson/2019/12/jersey-city-shooters-had-tremendous-amount-of-firepower-attack-investigated-as-domestic-terror-ag-says.html,-,-,40.707363,-74.083609,Spree,2019.0,
33,Pensacola Naval base shooting,"Pensacola, Florida",2019-12-06,"Ahmed Mohammed al-Shamrani, 21, a Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriff’s deputies.",3,8,11,Military,21,-,-,-,-,semiautomatic handgun,-,-,M,https://www.washingtonpost.com/national-security/2019/12/06/naval-station-pensacola-active-shooter/; https://www.cnn.com/us/live-news/pensacola-naval-base-shooter/index.html,-,-,30.364707,-87.288567,Mass,2019.0,
